SR. NO.,RESERVOIR NAME,FRL (M),CURRENT RESERVOIR LEVEL (M),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,STORAGE AS % OF LIVE CAPACITY AT FRL - CURRENT YEAR,STORAGE AS % OF LIVE CAPACITY AT FRL - LAST YEAR,STORAGE AS % OF LIVE CAPACITY AT FRL - NORMAL STORAGE,BENEFITS - IRR-CCA,BENEFITS - HYDEL IN MW,SOURCE_PDF,pct_filled,,
1,GOBIND SAGAR,512,499.756,6.229,3.816,03/09/2026,61.26,89.13,76,676,1379,bulletin-03-09-2026-118.pdf,61.26183978,,
1,THEIN DAM,527.91,514.24,2.344,1.358,03/09/2026,57.93,97.14,69.79,348,600,bulletin-03-09-2026-118.pdf,57.93515358,,
2,PONG DAM,423.67,417.66,6.157,4.398,03/09/2026,71.43,99.18,78.86,0,396,bulletin-03-09-2026-118.pdf,71.43089167,,
1,GOBIND SAGAR,512,498.11,6.229,3.606,27/08/2026,57.89,84.28,73.09,676,1379,bulletin-27-08-2026-117.pdf,57.89051212,,
1,THEIN DAM,527.91,514.59,2.344,1.38,27/08/2026,58.87,95.44,68.47,348,600,bulletin-27-08-2026-117.pdf,58.87372014,,
2,PONG DAM,423.67,416.26,6.157,4.104,27/08/2026,66.66,96.52,74.96,0,396,bulletin-27-08-2026-117.pdf,66.65583888,,
1,GOBIND SAGAR,512,496.153,6.229,3.356,20/08/2026,53.87,80.09,70.07,676,1379,bulletin-20-08-2026-116.pdf,53.87702681,,
1,THEIN DAM,527.91,514.49,2.344,1.374,20/08/2026,58.6,83.58,66.83,348,600,bulletin-20-08-2026-116.pdf,58.61774744,,
2,PONG DAM,423.67,414.86,6.157,3.814,20/08/2026,61.94,85.83,69.48,0,396,bulletin-20-08-2026-116.pdf,61.9457528,,
1,GOBIND SAGAR,512,493.13,6.229,2.98,13/08/2026,47.84,68.56,61.92,676,1379,bulletin-13-08-2026-115.pdf,47.8407449,,
1,THEIN DAM,527.91,511.8,2.344,1.192,13/08/2026,50.85,69.5,61.41,348,600,bulletin-13-08-2026-115.pdf,50.85324232,,
2,PONG DAM,423.67,412.2,6.157,3.301,13/08/2026,53.62,77.82,60.84,0,396,bulletin-13-08-2026-115.pdf,53.61377294,,
1,GOBIND SAGAR,512,490.286,6.229,2.662,06/08/2026,42.73,58.72,54.27,676,1379,bulletin-06-08-2026-114.pdf,42.73559159,,
1,THEIN DAM,527.91,511.21,2.344,1.172,06/08/2026,50,63.01,55.94,348,600,bulletin-06-08-2026-114.pdf,50,,
2,PONG DAM,423.67,409.94,6.157,2.892,06/08/2026,46.97,73.44,49.03,0,396,bulletin-06-08-2026-114.pdf,46.9709274,,
1,GOBIND SAGAR,512,487.15,6.229,2.32,30/07/2026,37.25,48.81,47.33,676,1379,bulletin-30-07-2026-113.pdf,37.24514368,,
1,THEIN DAM,527.91,509.25,2.344,1.074,30/07/2026,45.82,43.22,50.47,348,600,bulletin-30-07-2026-113.pdf,45.81911263,,
2,PONG DAM,423.67,406.56,6.157,2.486,30/07/2026,40.37,54.02,39.52,0,396,bulletin-30-07-2026-113.pdf,40.37680689,,
1,GOBIND SAGAR,512,484.248,6.229,2.046,23/07/2026,32.85,41.81,40.83,676,1379,bulletin-23-07-2026-111.pdf,32.84636378,,
1,THEIN DAM,527.91,504.42,2.344,0.817,23/07/2026,34.85,36.95,47.91,348,600,bulletin-23-07-2026-111.pdf,34.85494881,,
2,PONG DAM,423.67,404.34,6.157,1.96,23/07/2026,31.84,41.63,33.91,0,396,bulletin-23-07-2026-111.pdf,31.83368524,,
1,GOBIND SAGAR,512,482.3,6.229,1.863,16/07/2026,29.9,35.55,35.05,676,1379,bulletin-16-07-2026-109.pdf,29.90849253,,
1,THEIN DAM,527.91,501.89,2.344,0.695,16/07/2026,29.65,36.95,45.61,348,600,bulletin-16-07-2026-109.pdf,29.65017065,,
2,PONG DAM,423.67,403.04,6.157,1.77,16/07/2026,28.75,33.1,28.26,0,396,bulletin-16-07-2026-109.pdf,28.74776677,,
1,GOBIND SAGAR,512,478.566,6.229,1.565,09/07/2026,25.13,33.11,30.52,676,1379,bulletin-09-07-2026-108.pdf,25.12441804,,
1,THEIN DAM,527.91,502.2,2.344,0.744,09/07/2026,31.74,35.92,41.89,348,600,bulletin-09-07-2026-108.pdf,31.74061433,,
2,PONG DAM,423.67,402.17,6.157,1.645,09/07/2026,26.72,30.46,24.16,0,396,bulletin-09-07-2026-108.pdf,26.71755725,,
1,GOBIND SAGAR,512,475.473,6.229,1.33,02/07/2026,21.36,28.34,26.71,676,1379,bulletin-02-07-2026-108.pdf,21.35174185,,
1,THEIN DAM,527.91,503,2.344,0.744,02/07/2026,31.74,35.92,41.43,348,600,bulletin-02-07-2026-108.pdf,31.74061433,,
2,PONG DAM,423.67,401.66,6.157,1.575,02/07/2026,25.58,24.86,20.36,0,396,bulletin-02-07-2026-108.pdf,25.58063992,,
1,GOBIND SAGAR,512,475.872,6.229,1.36,25/06/2026,21.84,23.25,24.55,676,1379,bulletin-25-06-2026-107.pdf,21.83336009,,
1,THEIN DAM,527.91,504.76,2.344,0.842,25/06/2026,35.92,36.95,42.32,348,600,bulletin-25-06-2026-107.pdf,35.92150171,,
2,PONG DAM,423.67,402.45,6.157,1.684,25/06/2026,27.35,11.03,18.45,0,396,bulletin-25-06-2026-107.pdf,27.35098262,,
1,GOBIND SAGAR,512,478.637,6.229,1.571,18/06/2026,25.22,21.3,24.95,676,1379,bulletin-18-06-2026-105.pdf,25.22074169,,
1,THEIN DAM,527.91,507.45,2.344,0.964,18/06/2026,41.13,38.05,44.59,348,600,bulletin-18-06-2026-105.pdf,41.12627986,,
2,PONG DAM,423.67,403.39,6.157,1.821,18/06/2026,29.57,9.29,19.29,0,396,bulletin-18-06-2026-105.pdf,29.57609225,,
1,GOBIND SAGAR,512,480.563,6.229,1.717,11/06/2026,27.57,20.17,24.13,676,1379,bulletin-11-06-2026-105.pdf,27.56461711,,
1,THEIN DAM,527.91,510.24,2.344,1.111,11/06/2026,47.4,40.06,45.56,348,600,bulletin-11-06-2026-105.pdf,47.39761092,,
2,PONG DAM,423.67,404.54,6.157,1.613,11/06/2026,26.2,10.64,20.93,0,396,bulletin-11-06-2026-105.pdf,26.19782362,,
1,GOBIND SAGAR,512,482.11,6.229,1.844,04/06/2026,29.6,22.17,23.04,676,1379,bulletin-04-06-2026-101.pdf,29.60346765,,
1,THEIN DAM,527.91,512.61,2.344,1.263,04/06/2026,53.88,42.15,45.82,348,600,bulletin-04-06-2026-101.pdf,53.88225256,,
2,PONG DAM,423.67,405.67,6.157,2.161,04/06/2026,35.1,12.48,22.23,0,396,bulletin-04-06-2026-101.pdf,35.09826214,,
1,GOBIND SAGAR,512,482.111,6.229,1.845,29/05/2026,29.62,22.27,22.34,676,1379,bulletin-29-05-2026-99.pdf,29.61952159,,
1,THEIN DAM,527.91,514.735,2.344,1.386,29/05/2026,59.13,42.15,44.84,348,600,bulletin-29-05-2026-99.pdf,59.12969283,,
2,PONG DAM,423.67,405.74,6.157,2.174,29/05/2026,35.31,12.41,23.28,0,396,bulletin-29-05-2026-99.pdf,35.30940393,,
1,GOBIND SAGAR,512,482.48,6.229,1.88,21/05/2026,30.17,21.23,21.74,676,1379,bulletin-21-05-2026-98.pdf,30.18140954,,
1,THEIN DAM,527.91,516.302,2.344,1.507,21/05/2026,64.29,36.95,43.6,348,600,bulletin-21-05-2026-98.pdf,64.29180887,,
2,PONG DAM,423.67,406.05,6.157,2.226,21/05/2026,36.16,11.68,24.11,0,396,bulletin-21-05-2026-98.pdf,36.15397109,,
1,GOBIND SAGAR,512,483.596,6.229,1.985,14/05/2026,31.87,21.42,23.07,676,1379,bulletin-14-05-2026-96.pdf,31.86707337,,
1,THEIN DAM,527.91,517.472,2.344,1.568,14/05/2026,66.89,35.92,43.85,348,600,bulletin-14-05-2026-96.pdf,66.89419795,,
2,PONG DAM,423.67,406.31,6.157,2.269,14/05/2026,36.85,11.71,25.11,0,396,bulletin-14-05-2026-96.pdf,36.85236316,,
1,GOBIND SAGAR,512,484.379,6.229,2.059,07/05/2026,33.05,20.38,24.08,676,1379,bulletin-07-05-2026-95.pdf,33.05506502,,
1,THEIN DAM,527.91,517.89,2.344,1.568,07/05/2026,66.89,32.76,43.9,348,600,bulletin-07-05-2026-95.pdf,66.89419795,,
2,PONG DAM,423.67,406.5,6.157,2.301,07/05/2026,37.37,11.69,26.15,0,396,bulletin-07-05-2026-95.pdf,37.3720968,,
1,GOBIND SAGAR,512,485.504,6.229,2.165,30/04/2026,34.76,20.03,25.48,676,1379,bulletin-30-04-2026-94.pdf,34.75678279,,
1,THEIN DAM,527.91,518.47,2.344,1.599,30/04/2026,68.22,29.65,43.03,348,600,bulletin-30-04-2026-94.pdf,68.21672355,,
2,PONG DAM,423.67,406.75,6.157,2.343,30/04/2026,38.05,11.68,26.81,0,396,bulletin-30-04-2026-94.pdf,38.0542472,,
1,GOBIND SAGAR,512,486.217,6.229,2.232,23/04/2026,35.84,20.73,26.37,676,1379,bulletin-23-04-2026-92.pdf,35.83239685,,
1,THEIN DAM,527.91,518.346,2.344,1.599,23/04/2026,68.22,24.87,42.29,348,600,bulletin-23-04-2026-92.pdf,68.21672355,,
2,PONG DAM,423.67,406.99,6.157,2.383,23/04/2026,38.7,11.76,27.32,0,396,bulletin-23-04-2026-92.pdf,38.70391424,,
1,GOBIND SAGAR,512,486.884,6.229,2.295,16/04/2026,36.85,19.48,26.23,676,1379,bulletin-16-04-2026-91.pdf,36.84379515,,
1,THEIN DAM,527.91,517.527,2.344,1.568,16/04/2026,66.89,23.25,40.23,348,600,bulletin-16-04-2026-91.pdf,66.89419795,,
2,PONG DAM,423.67,406.98,6.157,2.382,16/04/2026,38.69,11.95,27.53,0,396,bulletin-16-04-2026-91.pdf,38.68767257,,
1,GOBIND SAGAR,512,487.098,6.229,2.316,09/04/2026,37.17,19.14,26.4,676,1379,bulletin-09-04-2026-91.pdf,37.18092792,,
1,THEIN DAM,527.91,515.625,2.344,1.446,09/04/2026,61.69,17.58,38.93,348,600,bulletin-09-04-2026-91.pdf,61.6894198,,
2,PONG DAM,423.67,406.63,6.157,2.323,09/04/2026,37.72,12.29,27.35,0,396,bulletin-09-04-2026-91.pdf,37.72941368,,
1,GOBIND SAGAR,512,487.296,6.229,2.343,02/04/2026,37.61,19.07,26.79,676,1379,bulletin-02-04-2026-90.pdf,37.61438433,,
1,THEIN DAM,527.91,514.518,2.344,1.386,02/04/2026,59.13,17.58,37.76,348,600,bulletin-02-04-2026-90.pdf,59.12969283,,
2,PONG DAM,423.67,406.53,6.157,2.306,02/04/2026,37.46,12.98,27.17,0,396,bulletin-02-04-2026-90.pdf,37.45330518,,
1,GOBIND SAGAR,512,487.915,6.229,2.397,27/03/2026,38.48,20.02,28.07,676,1379,bulletin-27-03-2026-88.pdf,38.48129716,,
1,THEIN DAM,527.91,514.294,2.344,1.36,27/03/2026,58.02,20.01,36.52,348,600,bulletin-27-03-2026-88.pdf,58.02047782,,
2,PONG DAM,423.67,406.49,6.157,2.299,27/03/2026,37.34,13.25,27.34,0,396,bulletin-27-03-2026-88.pdf,37.33961345,,
1,GOBIND SAGAR,512,488.625,6.229,2.476,19/03/2026,39.75,23.1,30.27,676,1379,bulletin-19-03-2026-86.pdf,39.74955852,,
1,THEIN DAM,527.91,514.392,2.344,1.36,19/03/2026,58.02,20.82,35.8,348,600,bulletin-19-03-2026-86.pdf,58.02047782,,
2,PONG DAM,423.67,406.71,6.157,2.336,19/03/2026,37.94,14.2,28.47,0,396,bulletin-19-03-2026-86.pdf,37.94055547,,
1,GOBIND SAGAR,512,490.259,6.229,2.659,12/03/2026,42.68,25.52,32.19,676,1379,bulletin-12-03-2026-86.pdf,42.68742976,,
1,THEIN DAM,527.91,514.651,2.344,1.386,12/03/2026,59.13,20.01,35.6,348,600,bulletin-12-03-2026-86.pdf,59.12969283,,
2,PONG DAM,423.67,407.55,6.157,2.478,12/03/2026,40.25,16.14,29.77,0,396,bulletin-12-03-2026-86.pdf,40.24687348,,
1,GOBIND SAGAR,512,494.059,6.229,3.088,26/02/2026,49.58,28.46,37.79,676,1379,bulletin-26-02-2026-84.pdf,49.57457056,,
1,THEIN DAM,527.91,516.586,2.344,1.477,26/02/2026,63.01,11.9,34.97,348,600,bulletin-26-02-2026-84.pdf,63.01194539,,
2,PONG DAM,423.67,409.66,6.157,2.843,26/02/2026,46.18,14.63,34.47,0,396,bulletin-26-02-2026-84.pdf,46.17508527,,
